MMS ID,S3 Path,Local Path
991011591179704641,01GCL_INST/storage/alma/84/64/8E/E8/A6/5C/04/60/98/28/44/7E/66/03/DC/B0/grinnell_23247_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23247_OBJ.tiff
991011591179804641,01GCL_INST/storage/alma/82/BA/8D/A2/99/53/1D/58/15/D3/4F/1A/09/12/9E/CC/grinnell_26613_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26613_OBJ.tiff
991011591179904641,01GCL_INST/storage/alma/2D/4A/F6/FF/2B/C8/DF/4D/05/CC/A1/DF/CE/E0/56/EA/grinnell_23246_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23246_OBJ.tiff
991011591180004641,01GCL_INST/storage/alma/12/4B/44/BC/C0/DF/2A/71/64/2D/33/1C/BC/0D/D4/A3/grinnell_26612_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26612_OBJ.tiff
991011591180104641,01GCL_INST/storage/alma/42/9C/78/66/A9/86/32/13/21/99/08/4B/B3/EA/D9/95/grinnell_23245_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23245_OBJ.tiff
991011591180204641,01GCL_INST/storage/alma/AB/CE/D5/C3/63/77/4C/10/8D/84/96/F7/C2/BB/C0/4A/grinnell_26611_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26611_OBJ.tiff
991011591180304641,01GCL_INST/storage/alma/BD/DC/6A/CF/0D/07/61/42/26/90/3F/4F/6C/0C/AE/BA/grinnell_26589_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26589_OBJ.tiff
991011591180404641,01GCL_INST/storage/alma/CE/B2/27/D2/4F/FA/3A/4F/67/0E/9A/99/80/C2/63/4A/grinnell_23244_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23244_OBJ.tiff
991011591180504641,01GCL_INST/storage/alma/70/1E/E2/CA/9C/17/B6/E3/77/0D/19/36/03/7B/8E/8D/grinnell_26559_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26559_OBJ.tiff
991011591180604641,01GCL_INST/storage/alma/1A/62/B9/AF/50/93/92/C5/83/03/A7/37/70/B6/43/C7/grinnell_23243_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23243_OBJ.tiff
991011591180704641,01GCL_INST/storage/alma/CF/CA/E5/92/68/2B/0C/7F/7F/DC/34/DC/89/17/08/A5/grinnell_23292_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23292_OBJ.tiff
991011591180804641,01GCL_INST/storage/alma/0A/CB/74/B3/97/BF/E2/8E/9F/56/58/1F/60/13/10/17/grinnell_23242_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23242_OBJ.tiff
991011591180904641,01GCL_INST/storage/alma/A8/23/83/1F/40/4E/8E/8D/34/9B/F3/83/13/FE/9E/37/grinnell_23291_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23291_OBJ.tiff
991011591181004641,01GCL_INST/storage/alma/5A/D8/BC/D4/B1/7A/29/CB/0B/D2/53/F6/3E/D9/C5/6C/grinnell_23241_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23241_OBJ.tiff
